x,y,z
-0.016184120798021076,0.92,1.0
-0.01932612127177165,0.925,1.0
-0.022409421185737813,0.93,1.0
-0.025432668102673098,0.935,1.0
-0.0283945359265607,0.9400000000000001,1.0
-0.031293725484282345,0.9450000000000001,1.0
-0.034128965095478817,0.9500000000000001,1.0
-0.03689901113035139,0.9550000000000001,1.0
-0.039602648555157785,0.96,1.0
-0.04223869146516797,0.965,1.0
-0.044805983604839325,0.97,1.0
-0.04730339887498951,0.975,1.0
-0.04972984182674077,0.98,1.0
-0.05208424814201991,0.985,1.0
-0.054365585100403055,0.99,1.0
-0.056572852032101315,0.995,1.0
-0.05870508075688767,1.0,1.0
-0.06076133600877269,1.0050000000000001,1.0
-0.0627407158462429,1.01,1.0
-0.06464235204788253,1.0150000000000001,1.0
-0.06646541049320386,1.02,1.0
-0.0682090915285201,1.025,1.0
-0.06987263031770007,1.03,1.0
-0.07145529717765021,1.035,1.0
-0.07295639789837828,1.04,1.0
-0.07437527404749618,1.045,1.0
-0.07571130325903071,1.05,1.0
-0.07696389950641343,1.055,1.0
-0.07813251335953166,1.06,1.0
-0.07921663222572624,1.065,1.0
-0.08021578057463209,1.07,1.0
-0.08112952014676116,1.075,1.0
-0.08195745014573776,1.08,1.0
-0.08269920741410099,1.085,1.0
-0.08335446659259764,1.09,1.0
-0.08392294026289553,1.095,1.0
-0.08440437907365465,1.1,1.0
-0.08479857184990085,1.105,1.0
-0.08510534568565435,1.11,1.0
-0.08532456601977172,1.115,1.0
-0.08545613669496914,1.12,1.0
-0.0855,1.125,1.0
-0.08545613669496914,1.1300000000000001,1.0
-0.08532456601977169,1.135,1.0
-0.08510534568565435,1.1400000000000001,1.0
-0.08479857184990085,1.145,1.0
-0.08440437907365465,1.1500000000000001,1.0
-0.08392294026289553,1.155,1.0
-0.08335446659259767,1.16,1.0
-0.08269920741410099,1.165,1.0
-0.08195745014573778,1.17,1.0
-0.08112952014676116,1.175,1.0
-0.08021578057463209,1.18,1.0
-0.07921663222572624,1.185,1.0
-0.07813251335953168,1.19,1.0
-0.07696389950641348,1.195,1.0
-0.07571130325903076,1.2,1.0
-0.0743752740474962,1.205,1.0
-0.07295639789837831,1.21,1.0
-0.07145529717765024,1.215,1.0
-0.06987263031770012,1.22,1.0
-0.06820909152852013,1.225,1.0
-0.06646541049320391,1.23,1.0
-0.06464235204788253,1.235,1.0
-0.06274071584624293,1.24,1.0
-0.06076133600877266,1.245,1.0
-0.0587050807568877,1.25,1.0
-0.05657285203210126,1.2550000000000001,1.0
-0.05436558510040311,1.26,1.0
-0.05208424814201994,1.2650000000000001,1.0
-0.0497298418267408,1.27,1.0
-0.047303398874989425,1.2750000000000001,1.0
-0.04480598360483927,1.28,1.0
-0.04223869146516811,1.285,1.0
-0.03960264855515784,1.29,1.0
-0.036899011130351336,1.295,1.0
-0.03412896509547893,1.3,1.0
-0.031293725484282345,1.305,1.0
-0.02839453592656073,1.31,1.0
-0.02543266810267321,1.315,1.0
-0.022409421185737646,1.32,1.0
-0.01932612127177176,1.325,1.0
-0.016184120798020993,1.33,1.0
